EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.117769,0.000000,0.117921,
slow_a,0.524897,0.000980,0.526535,
slow_b,0.671662,0.000000,0.672474,
slow_c,3.152409,0.000000,3.155345,
slow_d,6.321057,0.000000,6.326258,
slow_e,2.003216,0.000000,2.012887,
slow_f,0.123917,0.000000,0.124087,

