thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,32801,160772083,246496927,553218363,
1,0,slow_a,7862167,2665772386,2309472715,6593219195,
1,0,slow_b,7866200,2160769238,2823230828,6553242276,
1,0,slow_c,7875309,1660771837,12701417289,5053222312,
1,0,slow_d,7886731,6160776676,25333880660,14553228507,
1,0,slow_e,511154923,1910729377,5713126394,5084609296,
1,0,slow_f,7859654,192028162,703428777,2146996265,
2,1,fast,36147,160779918,514693656,573232799,
2,1,slow_a,7870394,2665781002,4450056990,6613236531,
2,1,slow_b,9235281,2160739895,10375636899,6573270503,
2,1,slow_c,7888231,1660781749,26196725684,5073240556,
2,1,slow_d,8003229,6863926568,48412232463,17955729182,
2,1,slow_e,396597496,1910534064,12089800605,5104629796,
2,1,slow_f,7929551,192037314,1282855388,2167032746,
2,0,fast,32411,160777775,515554291,573232807,
2,0,slow_a,7879586,2665780558,2542173109,6613234060,
2,0,slow_b,232974782,2160777544,22136197154,6573273862,
2,0,slow_c,587173622,1659273497,94800789590,5073259083,
2,0,slow_d,1056780618,7294675942,133963594963,19818653904,
2,0,slow_e,658670614,1910732837,10699612503,5104628599,
2,0,slow_f,7875147,192038276,984873954,2167034189,
