EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.142877,0.000010,0.080019,
slow_a,0.544718,0.000000,0.285292,
slow_b,4.834435,0.000000,2.449810,
slow_c,27.351165,0.000000,13.697108,
slow_d,37.449949,39.367363,38.770755,
slow_e,3.545298,0.000000,1.784515,
slow_f,0.132135,0.000000,0.088193,

