EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.145888,0.000000,0.073561,
slow_a,0.593796,0.008114,0.301372,
slow_b,2.349233,0.003967,1.193877,
slow_c,40.753398,0.000000,20.412652,
slow_d,169.796492,145.544795,157.730220,
slow_e,8.262849,0.000000,4.147895,
slow_f,0.144632,0.000000,0.096105,

