EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.141730,0.000104,0.141838,
slow_a,0.601410,0.000000,0.601425,
slow_b,0.799309,0.000000,0.799383,
slow_c,2.547797,0.000008,2.547860,
slow_d,6.914201,0.000000,6.914331,
slow_e,5.212292,0.000000,5.212510,
slow_f,0.143275,0.000000,0.143288,

