EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.140395,0.000000,0.140400,
slow_a,0.597892,0.000000,0.597903,
slow_b,0.798184,0.000000,0.798202,
slow_c,2.547708,0.000000,2.547834,
slow_d,6.897122,0.000000,6.897362,
slow_e,5.086487,0.000000,5.086818,
slow_f,0.141687,0.000000,0.141690,

